date	Lawrence Ng	Neeta	Ted Trask	Neeta Joshi	Sachini Samarasinghe	Malinda Kandalama	Malinda
1395682889	37517	0	0	0	0	0	0
1395687258	37709	0	0	0	0	0	0
1395687758	37710	0	0	0	0	0	0
1395695371	37779	0	0	0	0	0	0
1395759924	37795	0	0	0	0	0	0
1395781761	37854	0	0	0	0	0	0
1395931149	37969	0	0	0	0	0	0
1395955619	38207	0	0	0	0	0	0
1396017083	38220	0	0	0	0	0	0
1396018452	38220	0	0	0	0	0	0
1396033193	38685	0	0	0	0	0	0
1396034898	38685	0	0	0	0	0	0
1396036712	38779	0	0	0	0	0	0
1396293025	38828	0	0	0	0	0	0
1396379166	38831	0	0	0	0	0	0
1396379379	38852	0	0	0	0	0	0
1396469103	40876	0	0	0	0	0	0
1396469896	40878	0	0	0	0	0	0
1396472129	40897	0	0	0	0	0	0
1396474065	41011	0	0	0	0	0	0
1396541016	41018	0	0	0	0	0	0
1396638448	41021	0	0	0	0	0	0
1396639995	41023	0	0	0	0	0	0
1396885855	41027	0	0	0	0	0	0
1396899853	41086	0	0	0	0	0	0
1396984335	41355	0	0	0	0	0	0
1397247297	41409	0	0	0	0	0	0
1397248748	41410	0	0	0	0	0	0
1397484607	41417	0	0	0	0	0	0
1397491609	41573	0	0	0	0	0	0
1397501654	41592	0	0	0	0	0	0
1397502552	41660	0	0	0	0	0	0
1397508171	41724	0	0	0	0	0	0
1397593977	41896	0	0	0	0	0	0
1397596834	41896	0	0	0	0	0	0
1397681905	41970	0	0	0	0	0	0
1397747221	42529	0	0	0	0	0	0
1397751241	42589	0	0	0	0	0	0
1397754140	42612	0	0	0	0	0	0
1398106573	42712	0	0	0	0	0	0
1398190593	42714	0	0	0	0	0	0
1398265425	42715	0	0	0	0	0	0
1398265460	42922	0	0	0	0	0	0
1398268479	42922	0	0	0	0	0	0
1398271735	42978	0	0	0	0	0	0
1398278671	42981	0	0	0	0	0	0
1398282984	42983	0	0	0	0	0	0
1398373748	42984	0	0	0	0	0	0
1398434861	42998	0	0	0	0	0	0
1398437720	43001	0	0	0	0	0	0
1398697019	43001	0	0	0	0	0	0
1398699790	43005	0	0	0	0	0	0
1398715690	43016	0	0	0	0	0	0
1398716189	43088	0	0	0	0	0	0
1398718090	43089	0	0	0	0	0	0
1398797186	43172	0	0	0	0	0	0
1398799360	43172	0	0	0	0	0	0
1398800327	43395	0	0	0	0	0	0
1399305448	43420	0	0	0	0	0	0
1399315892	43422	0	0	0	0	0	0
1399315910	43422	0	0	0	0	0	0
1399316102	43423	0	0	0	0	0	0
1399387116	43505	0	0	0	0	0	0
1399388283	43506	0	0	0	0	0	0
1399389375	43510	0	0	0	0	0	0
1399564137	43513	0	0	0	0	0	0
1399666061	43517	0	0	0	0	0	0
1399905905	43973	0	0	0	0	0	0
1399991114	43975	0	0	0	0	0	0
1400189261	44019	0	0	0	0	0	0
1400529215	77954	0	0	0	0	0	0
1401293283	77959	0	0	0	0	0	0
1401296335	77960	0	0	0	0	0	0
1401386785	78042	0	0	0	0	0	0
1402341065	78044	0	0	0	0	0	0
1402342238	78045	0	0	0	0	0	0
1402428124	78049	0	0	0	0	0	0
1402431333	78084	0	0	0	0	0	0
1402511788	78089	0	0	0	0	0	0
1402512041	78163	0	0	0	0	0	0
1402595862	78163	0	0	0	0	0	0
1403192924	78164	0	0	0	0	0	0
1403206094	78187	0	0	0	0	0	0
1403280442	78193	0	0	0	0	0	0
1403535284	78194	0	0	0	0	0	0
1403541811	78195	0	0	0	0	0	0
1403636781	78915	0	0	0	0	0	0
1403637528	78942	0	0	0	0	0	0
1403724192	78981	0	0	0	0	0	0
1403732386	78985	0	0	0	0	0	0
1404142813	79122	0	0	0	0	0	0
1404248505	79126	0	0	0	0	0	0
1404915912	79235	0	0	0	0	0	0
1404923241	79236	0	0	0	0	0	0
1404923409	79295	0	0	0	0	0	0
1405002584	79296	0	0	0	0	0	0
1405003854	79310	0	0	0	0	0	0
1405021172	79321	0	0	0	0	0	0
1405023400	79339	0	0	0	0	0	0
1405113290	79348	0	0	0	0	0	0
1405348976	79350	0	0	0	0	0	0
1405361989	79422	0	0	0	0	0	0
1405364123	79437	0	0	0	0	0	0
1405447703	79441	0	0	0	0	0	0
1405540116	79443	0	0	0	0	0	0
1406040988	79533	0	0	0	0	0	0
1406041836	79540	0	0	0	0	0	0
1406052691	79555	0	0	0	0	0	0
1406055617	79580	0	0	0	0	0	0
1406055678	79581	0	0	0	0	0	0
1406225786	79677	0	0	0	0	0	0
1406231654	79678	0	0	0	0	0	0
1406235975	85571	0	0	0	0	0	0
1406297884	85594	0	0	0	0	0	0
1406312943	85746	0	0	0	0	0	0
1406325886	85752	0	0	0	0	0	0
1406563924	85761	0	0	0	0	0	0
1406564839	85762	0	0	0	0	0	0
1406670247	85884	0	0	0	0	0	0
1406734781	85901	0	0	0	0	0	0
1406754307	86541	0	0	0	0	0	0
1406834212	86552	0	0	0	0	0	0
1407185931	86553	0	0	0	0	0	0
1407255136	86619	0	0	0	0	0	0
